"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"H3z1"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H3z2"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H4"	"H4"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H40"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H40a"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H40b"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H41"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H41a"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H41a*"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H42"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H42a"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H42a1"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H42a2"	"H42a2"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H43"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H44"	"H44"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H44a"	"H44"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H44a1"	"H44"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H44b"	"H44"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H44b*"	"H44"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H45"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H45a"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H45b"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H46"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H46a"	"H46a"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
"H46b"	"H"	"1"	"1.0000"	"72 93 125 199 215 217 236 295 456 477 482 489 513 523 711 722 750 951 1041 1048 1438 1719 1721 2158 2706 2755 2880 3010 3027 3203 3206 3330 3348 3384 3394 3396 3644 3645 3705 3720 3826 3921 4023 4025 4335 4883 4917 4977 5004 5108 5301 5442 5495 5833 6248 6260 6285 6374 6392 6446 6680 6680 6734 7142 7175 7476 7684 7697 7853 7859 7861 7870 7972 8020 8502 8594 8859 8946 8964 9064 9072 9093 9140 9377 9540 9587 9667 9785 10034 10044 10118 10321 10397 10398 10550 10589 10607 10640 10688 10754 10873 10914 11061 11215 11251 11288 11377 11467 11536 11560 11696 11899 11914 11959 12121 12285 12308 12372 12498 12630 12642 12669 12705 12771 12811 12822 12882 12940 13105 13183 13215 13263 13626 13780 13789 13934 14025 14133 14178 14182 14323 14338 14433 14502 14512 14544 14569 14872 14890 14893 14979 15043 15148 15172 15452 15487 15514 15535 15670 15758 15784 15904 15907 15924 15928 15930 16069 16086 16129 16144 16145 16148 16162 16163 16168 16217 16298 16316 16327 16391 16399 16482"
