"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"L3k"	"H7*"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L3k1"	"H7*"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L3x1+16311"	"H7*"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L3x1a2"	"P4"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L3x1b"	"H7*"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L3x2a*"	"H7*"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L3x2b"	"H7*"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L3x2b*"	"H7*"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L4a1a"	"L4a"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L4a1a*"	"L4a"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L4a2"	"L4a"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L4b1a*2"	"L4b1a"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L4b2a"	"L3'4"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L5a1a"	"L2'3'4'5'6"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L5a1b*"	"L2'3'4'5'6"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L5a2"	"L2'3'4'5'6"	"1"	"1.0000"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
"L5b1"	"L2'3'4'5'6"	"1"	"0.8938"	"10398 10373 10399 10689 10590 10641 10551 10733 10608 10915 10755 11017 10874 11002 10810 11062 9157 9378 11084 9221 9438 11216 11289 9459 11252 11378 9668 13781 7760 11440 9699 13790 7769 11468 9755 13843 7854 11537 9786 13935 7860 11561 9818 14026 7862 11697 10035 14134 7871 11900 10045 14179 7973 11915 10119 14183 8021 11960 10311 14234 8405 12122 10322 14324 8468 12286 16401 16051 15211 14339 8503 12309 16484 16070 15223 14418 8595 12373 16087 15453 14434 8617 12499 16145 15488 14503 8648 12631 16146 15515 14513 8794 12643 16149 15536 14545 8860 12670 1043 16163 15671 14570 8870 12706 1050 16164 15694 14873 8914 12772 1109 16299 15759 14891 8947 12812 1121 16300 15785 14894 8965 12823 1191 16306 15851 14980 9065 12883 1243 16329 15908 15044 9073 12941 1382 16358 15925 15136 9094 13106 1406 16364 15929 15150 9141 13184 1723 16393 15931 15173 9151 13216 1738 515 72 13264 2160 713 93 13276 2352 752 125 13315 2708 921 196 13485 2757 953 199 13627 2882 1018 215 3012 217 3029 236 3149 246 3204 247 3207 295 3260 458 3331 479 3349 484 3385 491 3395 3397 3505 3645 3646 3706 3721 3866 3827 3916 3922 3919 3993 4012 4024 5036 4049 4026 5047 4118 6249 7176 6048 6286 7599 6221 5049 4165 6261 7477 6078 6375 7624 4336 5109 4216 4509 5302 4284 6393 7685 4492 5285 4219 4647 5393 5774 6447 7698 5952 6735 5657 4825 5443 5834 6719 5496 6000 6753 4978 4884 5460 6756 5005 4918 7143 7056"
